titulo,texto
Calendário JPB dessa segunda-feira-4382558.wav,hora calendário semana calendário novo equip problema antigo pont bairro junto problema calendário bairro margen problema que ele passagem que cima pont isso gent isso ó móvel velho né chuva materi se isso mulher mulher ela perna lado bairro padr isso isso gent ônibu trabalho isso te gent né moto bicicleta gent trecho comunidad capit metal que segurança comunidad que travessia que perigoso noit pessoal trabalho se ninguém gent se senhora dia pont dia filho ele menino caminho gent escolha escolha gent isso tudinho senhor dia pela pont ambulant rio risco se se foto vereador
Calendário JPB - Creche dos Bancários deve ser entregue depois da Semana Santa-5790501.wav,filho hora meio-dia calendário bom eu crech no bancário fim obra que idad ela crei antônio no bancário ano meio ela estrutura primeira promessa crech pronta mãe ela esperança pertinho pronta né ela eu ela eu eu terminei resguardo consigo emprego nada eu ela ela segurança gent coisa coisa sala materi mesa você certeza gent construção você que eu coisa construção crech parquinho vidro janela detalh que medo prefeitura gent pequeno detalh caixa conclusão part hidráulica elétrica obra materi pessoal sala poder inauguração semana santa se pouquíssimo tempo ela ela lugar crech isso você isso poder vida necessário escola gent pelo eu obra lei dourado gent questão tranquilidad grand grand você certeza que segurança ambient saudável eu tranquila obra no próximo dia inauguração data
Resolvido - Calendário JPB 1 comemora terraplanagem de Rua Amesterdã-7542117.wav,calendário problema gent no rua cheia buraco que trilha moto ninguém carro lixo nada envi vídeo gent que tá rua calendário obra terraplanagem caçamba materi conclusão luta casamento né rua máquina mai vídeo rua acessibilidad cobrança pavimentação rua responsável boa gent luta né colega responsável pela obra ele responsável pela obra pessoal serviço calendário gent comunidad se equip gent coisa calendário rápido ess tempo record famosa reportagem queda rua cuidado pessoa bobeira caiaqu menino cara quem enxada ela tudo bom eu agradeço tudo bom Eu rápido rápido dia caminhão dia mundo eu senhora feliz feliz paz resto rua né que ele que ela lisinho ladeira ela meno né você risco coisa boa pronto quero calendário apelo buraqueira
Calendário JPB acompanha há seis anos obras em João Pessoa-7754927.wav,calendário gent especi eu comunidad gent situação morador nó comunidad pessoal veze alguma ela esperança gent burocracia poder público difícil impossível você gent pessoal melhoria infraestrutura comunidad semana dia calendário aniversário que ninguém né situação obra infraestrutura moradia lugar cara nova tudo gent felicidad morador que melhor part bom calendário volta à comunidad andamento obra coisa eu começo calçamento mese eu bicicleta chinelo casamento eu frent abraço bom serviço estiloso freia segura casamento andar bicicleta homem lama primeiro se se fechadura veze gent senhor esperança verdad ela você gent coisa gent feliz né se né calçamento causa chuva direitinho gent esperança certeza cada mai tempo chuva ruim obra gent ela assim gent que ele coisa legal que gent questão saneamento tampa esgoto frent galeria pluviai ciclovia calçada bonito negócio rapaz andamento feliz vida verdad cobra grand gent andamento legal gent estrada
Calendário JPB volta ao Grotão-4471493.wav,hora comunidad calendário calendário volta calçamento que tempo primeiro passo terraplanagem gent buraco grand geladeira última visita nó terraplanagem pela prefeitura prazo serviço pelo gent rua melhor pessoal prefeitura tudo máquina máquina caçamba aterro música celular prefeitura serviço esgoto termin piru você chuva casa canto rua galeria água pluvial água chuva que buraco ond água risco solução seinfra aterro setor engenharia seinfra que eu que água chuva que serviço que ele ele certo gent rua rua plana carro serviço galeria nada que ele terra água que caminho galeria ela casa que sogra se ela ela eu história questão calçamento eu eu pessoal prefeitura serviço terraplanagem que que ele você prazo que ele pacot serviço rua calçamento empresa que contrato obra quem ele isso próprio secretário secretário ano que ele empresa que ele serviço ess que dia outubro
Calendário JPB vai até o bairro do Alto Branco cobrar solução para esgoto estourado-6130081.wav,gent investigaçõ olha morador bairro alto branco contato produção expedição que calendário cabelo perfil situação que ele esgoto gent órgão resolva problema que mundo principai cidad pedido população ordem grisi gent bairro mau cheiro você noção aberto eu que gent cheguei trabalho mãe grand como que né estrada modalidad você filho eu cheiro que meio rua cheiro ruim hein mau cheiro eu caminho problema perto mulher céu porta casa porta casa mulher que rede esgoto que veze eu veze problema nada pelo eu esgoto caixa tudo vazamento rua situação mau cheiro horrível horrível horrível casa todinho casa mãe doent conta isso infecção pulmão conta isso pior condiçõ isso calendário calendário horrível rua recent mensagem ano gent esgoto taxa esgoto gent conta água japa
"Calendário JPB volta ao Marcos Moura, em Santa Rita-7666759.wav",comunidad pessoa hora ginásio coisa gent verdad você trabalho expectativa calendário simbora calendário altura máquina eu vejo negócio que trabalho bom eu coluna velho eu rapaz gent ginásio gent ginásio ele ruim estrutura modelo esport problema que comunidad reclamava quantidad mato lixo que gent later gent mont lado máquina lado toma limpeza tudo tudo beleza dia gent tira lixo máquina pessoa dia dia gent costa morador bota dia quem comigo homem-aranha eu ele mai meno embaixo quadra boa direito tu aqui boa tudo ela bonita pronto eu ligeiro vou ginástica menino tamanho mim bola gent tu traz favor bom criançada se isso atividad ginásio isso gent senhor que você espaço atividad processo que comunidad comunidad ela ano espaço ele ciúm espaço lazer criança outra faixa etária diferent ambient lado ginásio aperto coração aperto coração gent criança que maneira criança que esport patin bicicleta situação mato população lixo entulho situação março ano pregão pregão presenci contratação empresa elaboração projeto complementar correçõ restriçõ fome
Calendário JPB tem carimbo de resolvido na Escola Municipal Cassiano Pascoal-6000120.wav,calendário resultado luta antiga pela cobertura escola recesso meio ano aula surpresa professora diretora escola menina escola realidad bom sorriso rosto feliz que feliz ambient escola que criança conforto espaço criança atividad física sala aula ampla ambientação gent sorriso rosto coisa calendário certeza pequenininha apertadinha criança sala verdad arranjo hora que princip reivindicação professor pai aluno questão espaço quadra atividad física sol recreio céu chuva escola nó pass que quadra professor atividad intensidad sol gent atividad área temperatura meno nó quadra eu você blusa proteção sol protetor rosto tudo conta eu ela ela quem patriota tudo bom sofia sol atividad física você nova escola se sol né história legal eu filho pai tamanho ele tranquilo gent feliz prédio próprio gosto sorriso
Moradores chamam e Calendário JPB vai até Paratibe-6431013.wav,bronca gent vivo situação morador rua lixo esgoto buraqueira nada calendário cara bom gent hora lixo seman hora esgoto se calendário situação história nó dia janeiro vivo problema rua como prefeitura prazo nó confiant tudo certo nada descaso mulher gent situação eu você pessoal casa que lixo meio rua gent resto planta mala velha lixo doméstico frent rua tomada lixo resto poda lado gent nada meno crech lixarada meio rua lado crech lixo ele planta seguint pessoal limpeza crech limpeza sujeira lado senhora que dona casa que limpeza dia serviço entendo meio rua criança anda velhinho manda tudo se cima gent carro carro motorista tu tamanho buraco que tu carro que eleição tudo buraco volto benefício área que lixo que lixo máquina nivelada rua solução isso chuva volta novo
Calendário JPB cobra construção de academia para moradores-5655688.wav,calendário novo área bairro lugar super cheio gent alegria que pessoal área pracinha obra tempo calendário jeito volta bairro mê gent revitalização praça que segunda etapa prefeitura prazo gent prazo processo licitatório mont coisa promessa bonito playground quadra revitalização canal nada gent limpeza entulho lixo tudo olha que duro conta sozinho local coisa prefeitura alguém ela fiscal ele prefeitura máquina local aula eu lixinho negócio serraria entulho população jeito né eu eu costa ninguém espaço isso público morador lixo eu que representant calendário diga coisa coleta lixo local terça quarta quinta isso isso consciência espaço público isso próprio espaço nada lixo que terreno baldio gent contato secretário obra ele processo andamento burocracia processo licitatório gent calendário última vez gent dia abril gent data local gent que prefeitura limpeza né gent data volta certeza prefeitura promessa ela né
Calendário JPB volta a Varzea Nova-5859920.wav,nó no nó calendário casa rio calçamento segura problema antigo visita eu trabalho água que gent chão cano nó isso comum o que situação rua calçamento preciso destino água ela local que infraestrutura rua part calçamento problema ponto rua transitável época chuva situação difícil carro pessoa ambulância porta problema que rua marido semana ele ambulância ele casa difícil eu prefeitura rápido possível reparo rua eu ministério público ele visita situação algo natureza gent cidad engenharia solução serviço que reparo calçamento solução pouco início calendário última reportagem secretário infraestrutura gent projeto problema forma definitiva secretário piorada grand conta chuva conta chuva quantidad água rua drenagem eu você última vez você nem casamento casamento drenagem você quantidad água grand da rua que rua secretaria chuva água nó março nó quantidad água que grand caminho natur drenagem região que baú que
Calendário JPB volta à Comunidade do S-4537407.wav,bom dia se calendário comunidad se obra local acordo prefeitura da etapa iniciai obra habitação comunidad aterro nova infraestrutura comunidad gent obra jeito pinguinho aterro acordo projeto prefeitura obra área que gent sinal algo se última visita certo última vez gent que nó algo concreto obra licitação ela gent que que produção pela secretária obra processo licitatório ela razão processo licitatório estudo impacto ambient atraso que ela telefon ela próxima licitação obra si nada citação obra quero paz ela gent concreto obra início resposta resumo que ela produção telefon fé razão meio tempo comunidad carimbo que obra licitação licitação pronta tempo né que segundo secretária essa novo prazo que ela gent janeiro calendário pertinho gent data agenda digit que gent editor reportagem seguint mê janeiro prefeitura obra volta tamo dia fevereiro 1º fevereiro control secretaria gent coisa possível gent
Calendário JPB volta ao IFPB em Cabedelo-6709588.wav,assunto calendário local conhecimento profissionai que nó futuro gent pé falta passagem nível isso quem indício reportagem obra que funcionário estudant pronta mê condiçõ carro gent montanha entulho algo mal-resolvido gent tudo pronto pessoa pé bicicleta moto trânsito gent interfac pessoal conta proximidad passagem nível comunidad próximo torno gent liberação obra cbtu passagem cavaleiro proximidad comunidad fechada passagem nível nó cbtu se manhã técnico graça ele passagem nível isso gent materi frent trânsito determinação nó implantação sinalização na passagem nível gent materi pessoal passagem nível mê data certinho gent inauguração passagem nível eu carro reportagem ela mont estudant carimbo andamento pertinho qual melhor dia gent dia quinta-feira vez obra né notícia melhor benefício comunidad interna externa tipo aresta comunidad garantia fato acesso
Calendário JPB mostra obra concluída em Bayeux-6870130.wav,colônia féria mê julho salvação grand salvação pai diversão criança tranquilidad féria combina diversão isso craqu ela amizad turminha você nome féria bora ele campo futebol brincadeira quem medo você medo bom futebol sabão opção criançada colônia féria ele se forma sinuca basquet jogo totó videogam se
Calendário JPB - Emlur atende pedido dos moradores no Parque do Sol-6175194.wav,12:16 barra calendário você lixo num terreno sol começo mê segunda visita calendário situação início semana situação dramática terreno mato lixo entulho materi que insegurança noit ela exército mulher situação hora gent janela porta quarta-feira trabalho limpeza terreno gent rua mulher que vizinha terreno quarta-feira trabalho que pequeno mai meno caçamba quarta-feira volta da 9:30 a14 caçamba lixo mato total trabalho trabalho resultado ess ele particular responsabilidad prefeitura limpo responsabilidad proprietário proprietário part ele limpeza isso dor cabeça comunidad pedido isso dono terreno conta gent responsabilidad ele né tramitação conta ele detalh história né gent pouco sujeirada novo certeza important rua locai que veze locai entulho conscientização educação que important important muriçoca casa gent loja prédio princip tard gent conta mosquito mosquito dengu que pretinho gent hora porta janela tudo você gent mosquito ele mosquito calendário problema
"Após mais de um ano de cobranças do Calendário JPB, rua é calçada em Campina Grande-5558135.wav",bairro cobrança calendário volta carimbo tela que coisa boa eu sorriso que povo sorriso sorriso coisa boa luta luta lutamo ele veze você gent seguint gent pedra né pintura ele semana cocô ele diga você ninguém roupa ela toa detalh poeira jeito que gent luta pouca calendário pela vez agosto ano briga morador hora trecho secretaria obra se restinho dinheiro calçamento que ele verba nó quadra promessa trabalho se isso paciência comunidad que promessa ela nó ela que casamento eu churrasco ela que vaca brejo tanto vaca churrasco secretário nita cadê cadê churrasco churrasco eu vaca tempo verdad eu eu prefeitura né gent surpresa tempo ele churrasco rua foss nada que lanch bolo queijo café bom isso churrasco cafezinho agradecimento trabalho né obra que gent mundo prefeitura calendário comunidad
Calendário JPB - estudantes pedem quadro e ganham reforma na escola inteira em Santa Rita-6819387.wav,hora calendário que jogo copa eu outubro ano honorina calendário reforma quadra esport situação feia reforma quadra escola inteira felicidad geral você quadra alegria honorina popular bom pessoal jeito bolinha quadra bola murcha ruim isso galera feliz vida causa calendário ginásio jeito gol final bonito diferent diferent senhora beleza maravilhosa futsal handebol tudo esport bola você quadra problema ginásio gent que restant escola ele pacot completo gent quadra gent present maior reforma que gent da vez calendário aluno cadeirant condiçõ quadra acesso acessibilidad horta que pelo próprio que gent própria verdura hortaliça tipo planta tipo adição agrotóxico veneno tudo que tudo que produção alimento escola situação calor grand na sala aula gent isso gent calendário trabalho gent que que escola grand reforma reforma part elétrica part hidráulica part estrutura escola pintura calendário ginásio secretaria estado educação escola nova pessoa ginásio vontad bola
Calendário JPB volta a Bayeux e cobra conclusão de obra-6753450.wav,parada calendário rua rua boa notícia que gent quem bicicleta última reportagem moto eu fácil difícil ladeira coisa tá difícil cheio gent isso motivo bom comunidad novo homem equilíbrio pneu b que ele bicicleta moto tá hora que gent pessoal prefeitura que mato lixo pessoal sujeira certeza eu ele pedra secretário infraestrutura novo secretário compromisso calendário pressão secretário dificuldad dia dia cidad acredito solução eu quantidad lixo que eu quantidad lixo que empresa meio dia hora gent puxão orelha comunidad lixo mato se falta consciência morador suja ela secretário calçamento senhor tempo se eu lhe na chuva verdad gent mê junho agendado gent pouquinho prazo serviço gent poder dia julho calendário pouquinho paciência dificuldad gent seguint coisa gent cariba gent diretor andamento notícia boa pertinho prazo mai carinho dia julho volta calendário eu gent
Calendário JPB volta à praça no Castelo Branco-5673465.wav,calendário quinta visita capit diga coisa realidad ele acúmulo lixo mato veze que limpeza esperança tudo isso projeto ofici reforma decisão prefeito que calendário requalificaçõ diferença mê projeto diferença diretoria paisagismo sedurb definitivo projeto paisagístico orçamentário nó planejamento planejamento part orçamentária part física passeio construção quadra que desejo morador iluminação part física inseri academia atividad física comunidad processo licitatório processo licitatório prefeitura ordem serviço execução serviço requalificação ureia que solicitação pronta planejamento processo licitatório isso demora isso questão prazo ond senhora dia tudo que secretário paisagismo maravilhoso meu trabalho ator que cultura afinidad especi criançada né brincadeira se enquanto bom isso difícil gent começo ano atividad criança dia mãe criança atividad causa escorpião perigoso criança unidad que se prefeitura mont lixo gent liga ele nó fizemo intervençõ uma poda ave levantamento copa limpeza relvado
Calendário JPB de volta! E a equipe vai ao Planalto da Boa Esperança-5349548.wav,meio-dia coisa que equip orgulhosa parceria nó comunidad calendário que certo você exemplo trabalho única iluminação que dia contar passagem ele noit frio eu escuridão casa tipo que colega eu calendário voz transformação lado empresa responsável pela construção condomínio iluminação lado prefeitura part ela lâmpada no post você benefício que condomínio todo que você problema bairro aguard calendário legal n missão parceria comunidad bom calendário volta né tempo conta período eleitor gent forma julgamento pessoa parceria você fácil informaçõ vídeo foto primeiro calendário tudo acento@cabo telefon contato liga redação número que calendário você tipo comunicação se flagrant se algo que te bairro gent eu notícia boa gent notícia
Calendário JPB volta à cidade de Santa Rita-6672568.wav,gent honorina gent depósito luta insistência diga resolvido sensação quem outubro ano escola diferença exemplo rampa piso inadequado objetivo escola bota capacet ambient obra gent escola gent certeza escola pronto detalh pintura par curiosidad vinagr eu ambient caminho cobertura escola pré-escola diferent eu vez calendário amiga você que ela condiçõ certeza gent tudo isso suspens porta gent coisa linda chão brilha lindo isso eu tudo piso que da fase obra pronto área piso né pronto pronto primeira solicitação aluno part vestiário part banheiro pintura piso partir escola edição tá diferent piso nada infraestrutura banheiro vestiário masculino acessibilidad cadeira roda calendário carimbo andamento andamento sabor eu carinho andamento qual prazo bom gent testa segurança que festa
Calendário JPB volta a Santa Rita-7434902.wav,cidadão que linha papel papel palhaço que eu gent poder público resposta situação calendário grupo cultur música vez nariz palhaço reforma espaço decent ele dia calor chão quent chuva noit condição luz que jeito rapaz né gent gent né gent reclamação isso calendário pela vez dia abril ano prefeitura construtora que obra ginásio ela pagamento que isso claro obra fim prefeitura pedido lua lei orçamentária anual verba complementar obra ano todinho que gent tudo se mato ferrugem conta estrutura cima forma tipo entulho redor ginásio vez olha tudo novo jeito nada perrengu grand verdad ano que trist realidad violência poder público quadra o ele oficina culturai nó oitava visita você firm firm fort comunidad direito gent direito lazer criança direito esport dança música enfim gent possibilidad dia noit horário lugar obra lixo descaso falta respeito população vou gent carinho grand que sexta-feira que tempo alguém ele licitação nova empresa novo pessoal lugar decent
Calendário JPB volta a Massaranduba-4784958.wav,obra que bendito muro arrimo casa rua calendário casa chuva barreira part tubulação rede esgoto que terreno recurso obra muro arrimo novo deslizamento estrutura desmorona projeto pronto liberação verba federai obra que fim ano que mostramo dezembro aluguel social família ela na casa família que recuperação rede esgoto segurança casa calendário volta pela né se prefeita conversa gent ela que equip dia horário ela né que ela gent prefeita no passo coordenador que documento obra ele governo feder dinheiro lista município recurso governo obra relação governo conhecimento realidad plano trabalho governo estado fato muita notificação documentação inteiro poder sabedor plano trabalho verba disponível dia forma gent governo estado que obra fato se nó força governo estado junto prazo se obra ess projeto o que recurso área risco senhor coordenador família risco que novo desastr sombra dúvida área risco desastr
Saiba mais sobre o calendário de pagamentos do PIS_Pasep-7847257.wav,pagamento iniciativa privada público assunto tudo dinheirinho fiz anotaçõ nada informaçõ bono quem iniciativa privada servidor público quem prefeitura órgão federai servidor público modo geral quem empresa privada atento data aniversário público final inscrição número inscrição atento número hora que part quem mese julho dezembro que final inscrição dinheirinho ano quem agosto iniciativa privada público que final inscrição número valor abono salário mínimo mundo que seguint meno carteira assinada mínimo salário-mínimo dinheirinho important né cartão cidadão ele saqu na agência nó bairro cartão cidadão pessoa depósito servidor público depósito que documentação carteira trabalho tudo que relação documentação emprego agência tudo quem mão dinheirinho dinheiro mai bom né bem-vinda hein quem servidor iniciativa iniciativa privada direito servidor público
'Calendário JPB' consegue resolver problema em creche de João Pessoa-5481575.wav,boa notícia mãe criança que crech pertinho lagoa calendário ajuda problema caixa que risco trabalho primeira volta calendário notícia ótima carimbo resolvido que filho crech buriti conta caixa que água torneira ele jeito que situação trabalho água expedient volto casa eu fico hora emprego perdi emprego conta isso isso medo hora crech estrutura ele boa primeira volta calendário nó matéria diretoria crech contato problema semana semana que água exato criança problema né surpresa boa pessoal setor engenharia secretaria educação gent pessoal casa que problema caixa plástico que ela que problema paliativo caixa antiga fibra reserva ação ligação rua ligaçõ direto reservatório rua crech você estrutura antiga fibra estrutura que gent forma prática rápido gent caixa fibra demanda certo tudo certo torneira crech água no bebedouro né criança torneira agradeço nome sufoco ela diretora senhora que primeira reportagem aperriada comigo sorriso canto canto certeza feliz tranquila né mundo satisfeito que bom crech
"Calendário JPB volta à escola no bairro do Cristo, em João Pessoa-6617471.wav",dia hora calendário gent escola municip bairro lugar manutenção chovia água lado novidad boa só nuvem escura mãe que filho escola problema tanta goteira aula lado later escola gent telhado nova eu informação que homen semana que escola essa quarta semana pessoal quarta-feira semana criança casa mãe muito criança diretora possibilidad entrada escola gent autorização eu refeitório lado escola pessoal gesso sala aula sala aula part que refeitório que calha aula alimentação brincadeira criança part refeitório diretora gent se gent que ambient obra observei que part elétrica escola que conta água trabalho que construtora aula prazo obra eu carimbo andamento certo secretaria educação aula dia abril dia abril sexta-feira gent criança aula serviço combinado saudad escola saudad ela dia escola escola comunidad você limpinha tudo lixo telhado pronto dia eu volta deixa eu novo ninguém abril calendário escola gent
"Calendário JPB1 acompanha obra no Mercado do Geisel, em João Pessoa-7846170.wav",hora calendário digit vivo mercado gá andamento morador content que meio povo calendário ele luta tempão mundo eu satisfeito feliz você tudo que galera satisfeita content mundo que casa que situação mercado gá imagen da primeira visita que calendário início se situação forma que isso gent prefeitura serviço serviço pintura prefeitura projeto ficaria mercado gá gent ano obra chuva gent bocado no último andamento ele gent vivo turma que situação nada gent calendário local eu terra poeira frent casamento mestr tudo fera bom tudo coisa mundo casa vivo diferent eu gent início dor coração esperança acabando isso início dor coração que você né gent prefeitura limpeza lixo né banheiro banheiro paradinha cabra prefeitura secretário gent ele ele estou povo orçamento participativo gent verdad início andamento pouquinho gent caixa esgoto que grand calor saneamento básico cima terra lama pouquinho que gent engenheiro empresa responsável pela tard irmãozinho nome gent que andamento ela que que você gent início etapa pavimentação etapa pavimentação gent problema falta saneamento pessoal isso bom tempo apelo pessoal proposta prefeitura gent sangramento gent andamento rapaz mentação enfim poder desejo população bola eu contigo negócio prazo que o que gent senhor sorriso rosto que ele negócio mim satisfação melhor quem alimentação frent negócio
Calendário JPB volta à praça no Castelo Branco-6034316.wav,vez equip praça promessa espaço mesa que representant projeto reforma praça morador se brilho dia mundo compromisso tempo última visita calendário licitação obra que gent obra obra praça dia chuva ele compromisso praça ele compromisso comunidad calendário gent compromisso alegria senhora obra isso calendário que gent se gent maior alegria promessa né isso gent promessa obra data ninguém verdad chuva tá ele problema ele tempo gent pelo meno canteiro obra obra gent movimentação construtora limpeza praça eu lembro período contato comigo limpeza praça tudo difícil limpeza praça dificuldad né gent dificuldad resposta eu isso você eu dia resposta resposta você present momento eu resposta
Calendário JPB - Secretário de esportes assume compromisso com moradores de Mangabeira-5601361.wav,calendário bairro que capit parceria comunidad que ano gent notícia boa calma avanço important gent tamanho abandono ginásio tamanho importância ele comunidad calendário história ano nada nó missão important situação novo secretário esport secretário pontualíssimo conosco comunidad problema primeira licitação consciência todo processo licitatório notícia boa você prazo recurso falta trâmite gent início obra obra né urgent eu exemplo secretário última visita gent que telha ginásio né isso risco comunidad risco que gent guarita secretário que senhor se criança ela vândalo espaço insegurança que espaço droga prostituição mau cheiro grand né ele isso banheiro tudo se local insegurança né gent medo gent proposta ginásio contrário droga prostituição cultura esport comunidad prefeito aceleração obra breve possível interess ele primeiro passo certeza eu ele se o que eu criança certeza que nó construção que reconstrução ginásio ginásio ele important jogo escolar causa isso gent ele pessoal vizinho gent coisa gent você quanto secretário ele dificuldad locomoção ele se ele
